;Data;Valor
0;201101;...
1;201102;-0.2
2;201103;-0.2
3;201104;0.7
4;201105;1.7
5;201106;-0.4
6;201107;0.1
7;201108;-2.2
8;201109;-0.1
9;201110;-0.2
10;201111;2.6
11;201112;2.4
12;201201;-1.4
13;201202;0.6
14;201203;1.0
15;201204;1.4
16;201205;0.7
17;201206;0.9
18;201207;-2.7
19;201208;7.1
20;201209;0.2
21;201210;1.8
22;201211;-0.3
23;201212;-3.0
24;201301;5.9
25;201302;0.2
26;201303;-0.6
27;201304;2.1
28;201305;-1.5
29;201306;1.5
30;201307;0.1
31;201308;2.2
32;201309;-0.4
33;201310;1.0
34;201311;-1.8
35;201312;-4.9
36;201401;2.1
37;201402;4.2
38;201403;1.6
39;201404;-2.1
40;201405;1.5
41;201406;-3.9
42;201407;2.5
43;201408;-1.6
44;201409;0.8
45;201410;0.8
46;201411;2.4
47;201412;-4.4
48;201501;-2.8
49;201502;-2.5
50;201503;1.2
51;201504;-2.5
52;201505;-1.7
53;201506;-1.0
54;201507;-0.3
55;201508;0.4
56;201509;0.6
57;201510;-0.6
58;201511;-1.5
59;201512;-0.5
60;201601;-1.0
61;201602;-3.1
62;201603;0.2
63;201604;-2.8
64;201605;-0.5
65;201606;-1.4
66;201607;-0.1
67;201608;-2.8
68;201609;-0.5
69;201610;-3.9
70;201611;0.6
71;201612;4.6
72;201701;7.8
73;201702;2.5
74;201703;-4.9
75;201704;7.2
76;201705;-1.6
77;201706;2.1
78;201707;-2.3
79;201708;0.3
80;201709;1.6
81;201710;0.2
82;201711;0.8
83;201712;-0.3
84;201801;-1.2
85;201802;1.1
86;201803;-0.3
87;201804;1.1
88;201805;-15.4
89;201806;28.6
90;201807;-5.2
91;201808;1.5
92;201809;-2.9
93;201810;-1.2
94;201811;1.1
95;201812;1.0
96;201901;-1.9
97;201902;-1.9
98;201903;-1.3
99;201904;0.1
100;201905;-1.5
101;201906;0.8
102;201907;0.8
103;201908;0.3
104;201909;0.8
105;201910;2.7
106;201911;-0.5
107;201912;-6.0
108;202001;4.6
109;202002;2.5
110;202003;-5.5
111;202004;-7.6
112;202005;3.8
113;202006;0.2
114;202007;3.1
115;202008;3.6
116;202009;3.9
117;202010;1.4
118;202011;0.2
119;202012;-0.8
120;202101;3.1
121;202102;4.4
122;202103;0.4
123;202104;1.6
124;202105;0.3
125;202106;-0.9
126;202107;0.2
127;202108;-2.3
128;202109;-0.3
129;202110;2.6
130;202111;1.4
131;202112;3.8
132;202201;1.4
133;202202;2.9
134;202203;0.7
135;202204;0.8
136;202205;1.4
137;202206;1.8
138;202207;1.6
139;202208;2.2
140;202209;-1.6
141;202210;-0.5
142;202211;0.7
143;202212;1.7
144;202301;-3.5
145;202302;3.8
146;202303;5.2
147;202304;-4.4
148;202305;4.5
149;202306;0.0
150;202307;2.4
151;202308;-2.7
152;202309;-0.2
153;202310;-2.7
154;202311;0.6
155;202312;-1.1
156;202401;0.7
157;202402;-1.6
158;202403;-0.1
159;202404;-0.1
160;202405;-0.5
161;202406;0.4
162;202407;-0.7
