;Data;Valor
0;201101;...
1;201102;0.1
2;201103;-0.3
3;201104;0.8
4;201105;0.5
5;201106;0.0
6;201107;1.5
7;201108;-0.3
8;201109;-0.1
9;201110;-1.2
10;201111;1.6
11;201112;1.3
12;201201;-0.5
13;201202;1.1
14;201203;0.2
15;201204;-1.1
16;201205;1.5
17;201206;0.6
18;201207;-0.3
19;201208;1.2
20;201209;-0.3
21;201210;0.4
22;201211;0.1
23;201212;1.6
24;201301;-1.0
25;201302;0.6
26;201303;0.2
27;201304;1.1
28;201305;-0.2
29;201306;1.1
30;201307;-0.2
31;201308;-0.4
32;201309;0.7
33;201310;0.6
34;201311;1.0
35;201312;-0.3
36;201401;0.8
37;201402;-0.6
38;201403;0.2
39;201404;0.2
40;201405;-0.1
41;201406;-0.9
42;201407;0.8
43;201408;-0.2
44;201409;0.7
45;201410;0.4
46;201411;0.6
47;201412;-2.0
48;201501;-1.6
49;201502;0.6
50;201503;0.6
51;201504;-1.6
52;201505;0.2
53;201506;-1.4
54;201507;-0.7
55;201508;0.7
56;201509;-0.7
57;201510;0.2
58;201511;-1.4
59;201512;-0.3
60;201601;-0.3
61;201602;-0.1
62;201603;0.0
63;201604;-1.1
64;201605;-0.4
65;201606;-0.5
66;201607;0.8
67;201608;-1.6
68;201609;-0.3
69;201610;-1.8
70;201611;0.2
71;201612;-0.5
72;201701;1.2
73;201702;0.4
74;201703;-2.9
75;201704;1.8
76;201705;-0.8
77;201706;1.6
78;201707;-0.6
79;201708;-0.9
80;201709;-0.2
81;201710;-0.2
82;201711;0.3
83;201712;1.6
84;201801;-2.1
85;201802;0.4
86;201803;0.5
87;201804;0.4
88;201805;-4.5
89;201806;7.2
90;201807;-2.9
91;201808;1.7
92;201809;-0.6
93;201810;-0.6
94;201811;0.2
95;201812;1.2
96;201901;-0.4
97;201902;-0.7
98;201903;-0.5
99;201904;0.3
100;201905;0.4
101;201906;-0.8
102;201907;1.0
103;201908;0.0
104;201909;1.0
105;201910;1.4
106;201911;-0.2
107;201912;-0.6
108;202001;0.6
109;202002;0.2
110;202003;-9.0
111;202004;-11.0
112;202005;-1.1
113;202006;4.4
114;202007;2.6
115;202008;3.1
116;202009;3.0
117;202010;2.4
118;202011;1.5
119;202012;0.3
120;202101;1.6
121;202102;2.8
122;202103;-4.8
123;202104;2.6
124;202105;2.0
125;202106;2.5
126;202107;0.6
127;202108;0.5
128;202109;-0.6
129;202110;-0.6
130;202111;2.7
131;202112;2.3
132;202201;-1.1
133;202202;0.4
134;202203;0.6
135;202204;0.5
136;202205;0.6
137;202206;0.4
138;202207;1.1
139;202208;1.6
140;202209;0.8
141;202210;-0.2
142;202211;-0.4
143;202212;2.6
144;202301;-3.8
145;202302;1.3
146;202303;1.3
147;202304;-1.8
148;202305;1.7
149;202306;-0.1
150;202307;0.5
151;202308;-0.3
152;202309;-0.2
153;202310;-0.4
154;202311;1.0
155;202312;0.4
156;202401;0.5
157;202402;-0.4
158;202403;0.3
159;202404;0.2
160;202405;-0.4
161;202406;1.4
162;202407;0.2
