;trimestre;nomeBandeira;nomeFuncao;produto;qtdCartoesEmitidos;qtdCartoesAtivos;qtdTransacoesNacionais;valorTransacoesNacionais;qtdTransacoesInternacionais;valorTransacoesInternacionais;data
0;20213;Bandeira própria;Crédito;Básico Nacional;1938972;535612;2741493;521339586,1;0;0,0;2021-07-01
1;20232;VISA;Crédito;Empresarial;3050384;1716709;43984902;12846611557,78;470796;397043258,04;2023-04-01
2;20213;VISA;Débito;Intermediário;3745393;2347388;59581444;4814915281,42;490;101638,63;2021-07-01
3;20211;MasterCard;Débito;Básico Internacional;83088117;21554284;567370086;39064611985,99;27511;9502222,14;2021-01-01
4;20211;MasterCard;Crédito;Premium;2197074;1785104;107175156;21107092218,04;1234605;631224037,1;2021-01-01
5;20223;MasterCard;Pré-Pago;Empresarial;1326421;452900;19051729;1150498383,35;0;0,0;2022-07-01
6;20204;Elo;Pré-Pago;Básico Nacional;3844456;161214;504004;39249776,87;38;8225,98;2020-10-01
7;20213;MasterCard;Débito;Platinum;864416;385714;9028660;816062254,61;1730;761974,94;2021-07-01
8;20241;Elo;Crédito;Platinum;184620;96660;3464355;530583083,98;5366;1261233,71;2024-01-01
9;20233;Elo;Débito;Empresarial;989166;394867;9191895;1227528692,45;0;0,0;2023-07-01
10;20222;VISA;Débito;Empresarial;1326144;522000;18869912;2571506735,94;2248;714970,72;2022-04-01
11;20203;MasterCard;Crédito;Platinum;7165375;5803369;195692548;28246331482,57;1477824;370989172,96;2020-07-01
12;20202;MasterCard;Crédito;Empresarial;2012146;1461916;15100296;3788427501,75;264777;172009818,53;2020-04-01
13;20241;Elo;Pré-Pago;Premium;6726;0;978;81617,26;0;0,0;2024-01-01
14;20214;Bandeira própria;Pré-Pago;Outros;591217;246442;502900338;895538643,09;0;0,0;2021-10-01
15;20212;MasterCard;Crédito;Outros;17649299;5982166;72472050;7428326531,97;103424;14094559,49;2021-04-01
16;20231;American Express;Crédito;Empresarial;26598;18382;529885;356075147,53;25707;44451624,54;2023-01-01
17;20212;VISA;Crédito;Outros;9880318;1904023;26253418;2698280828,34;88254;25284549,03;2021-04-01
18;20221;Hipercard;Crédito;Empresarial;1603;980;8726;4162216,06;1;0,01;2022-01-01
19;20224;Hipercard;Crédito;Intermediário;411;20;86;9411,08;1;0,01;2022-10-01
20;20223;MasterCard;Débito;Platinum;1120864;616523;17359392;1315065580,88;6327;2708842,08;2022-07-01
21;20202;Bandeira própria;Crédito;Outros;7230012;5121579;8354152;1013372201,92;0;0,0;2020-04-01
22;20213;Elo;Débito;Outros;6088;1741;40934;106363,86;0;0,0;2021-07-01
23;20223;MasterCard;Crédito;Corporativo;166240;103685;4327659;2231853629,57;242147;253636834,65;2022-07-01
24;20224;MasterCard;Pré-Pago;Empresarial;2282694;881260;27461077;1906353988,44;7800;1274130,45;2022-10-01
25;20201;VISA;Pré-Pago;Empresarial;1418;1082;18586;1585466,24;0;0,0;2020-01-01
26;20211;American Express;Crédito;Intermediário;574163;348180;7818627;1349996974,89;54516;20703988,43;2021-01-01
27;20234;MasterCard;Débito;Empresarial;1840152;431006;15493534;1033834993,12;26;22958,43;2023-10-01
28;20241;Outras;Crédito;Básico Internacional;85387;72412;29448;14139619,5;0;0,0;2024-01-01
29;20231;American Express;Crédito;Corporativo;68432;49995;1165487;1023587778,22;83905;134122134,34;2023-01-01
30;20202;Elo;Débito;Empresarial;711850;301075;4930991;643004234,76;0;0,0;2020-04-01
31;20232;VISA;Crédito;Intermediário;30269172;18566843;417828581;48914061616,01;1274354;285108014,16;2023-04-01
32;20211;MasterCard;Crédito;Platinum;10973927;9053834;289236263;35818913397,89;1736575;417692086,75;2021-01-01
33;20221;American Express;Crédito;Empresarial;21948;16437;475453;302644218,74;21197;32437478,7;2022-01-01
34;20233;American Express;Crédito;Empresarial;27741;19039;609656;399183346,4;28837;42690132,56;2023-07-01
35;20233;MasterCard;Pré-Pago;Intermediário;52918514;29521748;1202025035;42201512941,43;1;0,01;2023-07-01
36;20211;Elo;Crédito;Outros;239296;138035;4529615;872527158,57;6519;4264011,01;2021-01-01
37;20223;MasterCard;Débito;Outros;866058;278476;4037584;189724234,02;1100;451510,08;2022-07-01
38;20203;Outras;Débito;Outros;3483227;1879278;37663683;3514335509,79;0;0,0;2020-07-01
39;20212;VISA;Débito;Básico Internacional;116541954;39742042;708800336;51140675764,99;28234;6488514,37;2021-04-01
40;20222;Elo;Débito;Básico Internacional;69431;59153;578857;33395692,16;0;0,0;2022-04-01
41;20202;Elo;Débito;Corporativo;1889;1;1;170,5;0;0,0;2020-04-01
42;20242;VISA;Débito;Básico Internacional;175782016;42777078;1111139868;68545731710,02;28331;5434246,28;2024-04-01
43;20201;American Express;Crédito;Platinum;466359;349194;11899109;2847010171,46;622335;481222525,58;2020-01-01
44;20223;MasterCard;Débito;Intermediário;77811802;50283648;902667566;48599332350,55;42695;8859409,73;2022-07-01
45;20203;MasterCard;Crédito;Básico Internacional;20760226;9960896;136653105;13406797809,86;510394;99819832,99;2020-07-01
46;20224;MasterCard;Crédito;Empresarial;5278900;2576262;38238177;11525331705,83;540610;364269515,25;2022-10-01
47;20232;MasterCard;Débito;Básico Nacional;9474150;3352841;76682580;5459519111,92;44;13061,04;2023-04-01
48;20233;Elo;Pré-Pago;Básico Internacional;43568008;5724418;24653259;1336943463,28;3240;657549,79;2023-07-01
49;20211;Elo;Crédito;Corporativo;24106;13163;45707;104809129,06;63;42203,9;2021-01-01
50;20234;VISA;Crédito;Platinum;9842020;7221154;318504198;48871458242,56;2417099;817568796,81;2023-10-01
51;20213;MasterCard;Crédito;Intermediário;81083744;53017861;984423832;96736955755,98;3629464;478066054,7;2021-07-01
52;20202;MasterCard;Pré-Pago;Outros;13352572;2616902;23550200;1837590022,71;234457;37879758,1;2020-04-01
53;20211;VISA;Crédito;Premium;1838391;1332423;76000253;14701937707,33;575014;347667693,28;2021-01-01
54;20232;MasterCard;Débito;Empresarial;1734814;428364;14619835;974851189,78;37;28001,68;2023-04-01
55;20204;VISA;Débito;Básico Nacional;9258690;5167831;137748868;10042908771,3;890;171029,49;2020-10-01
56;20242;MasterCard;Débito;Premium;650813;346575;8499101;598715502,65;1124;605372,6;2024-04-01
57;20231;MasterCard;Pré-Pago;Básico Internacional;220351;137812;756318;50663149,54;1243;134791,17;2023-01-01
58;20223;MasterCard;Crédito;Intermediário;104214886;66217870;1249278675;120347163284,55;5165492;737499221,32;2022-07-01
59;20224;American Express;Crédito;Intermediário;448882;346292;9626019;1672960862,54;80842;41797989,77;2022-10-01
60;20232;VISA;Crédito;Platinum;9867175;7132484;305986202;45717181800,7;2521436;929165394,54;2023-04-01
61;20224;MasterCard;Débito;Premium;511773;326873;6825197;539401869,57;1193;634105,12;2022-10-01
62;20232;MasterCard;Crédito;Empresarial;6101597;2807026;43918732;13108730312,18;687600;441373827,44;2023-04-01
63;20212;MasterCard;Crédito;Platinum;11883963;9844024;321724134;40363989654,85;1927239;449119812,45;2021-04-01
64;20233;VISA;Crédito;Platinum;9860000;7198200;309601681;46407016360,96;2677344;917111183,82;2023-07-01
65;20233;Hipercard;Crédito;Platinum;1127183;1054576;19926077;3470890213,34;1;0,01;2023-07-01
66;20221;VISA;Débito;Platinum;1811479;1070345;38507949;3587414332,41;528;110605,25;2022-01-01
