Indicador;Data;DataReferencia;Media;Mediana;DesvioPadrao;Minimo;Maximo;numeroRespondentes;baseCalculo
IPCA;2024-10-11;10/2026;0,3204;0,32;0,1051;0,0533;0,5987;21;1
IPCA;2024-10-11;10/2026;0,3204;0,32;0,1051;0,0533;0,5987;21;0
IPCA Livres;2024-10-11;10/2026;0,3673;0,36;0,0813;0,2356;0,4947;11;1
IPCA Livres;2024-10-11;10/2026;0,3673;0,36;0,0813;0,2356;0,4947;11;0
IPCA Serviços;2024-10-11;10/2026;0,34;0,33;0,1264;0,13;0,5799;10;1
IPCA Serviços;2024-10-11;10/2026;0,34;0,33;0,1264;0,13;0,5799;10;0
IPCA Bens industrializados;2024-10-11;10/2026;0,2804;0,27;0,0568;0,18;0,36;9;1
IPCA Bens industrializados;2024-10-11;10/2026;0,2804;0,27;0,0568;0,18;0,36;9;0
IPCA Alimentação no domicílio;2024-10-11;10/2026;0,5198;0,45;0,2252;0,2282;0,94;9;1
IPCA Alimentação no domicílio;2024-10-11;10/2026;0,5198;0,45;0,2252;0,2282;0,94;9;0
IPCA Administrados;2024-10-11;10/2026;0,1997;0,25;0,1583;-0,24;0,38;11;1
IPCA Administrados;2024-10-11;10/2026;0,1997;0,25;0,1583;-0,24;0,38;11;0
IPCA;2024-10-11;09/2026;0,2525;0,25;0,0643;0,13;0,4;35;1
IPCA;2024-10-11;09/2026;0,2513;0,24;0,072;0,078;0,5;87;0
Câmbio;2024-10-11;09/2026;5,4279;5,44;0,1883;5,1;5,77;21;1
Câmbio;2024-10-11;09/2026;5,4396;5,445;0,2332;4,97;6,063;26;0
IPCA Livres;2024-10-11;09/2026;0,2588;0,255;0,0564;0,1426;0,38;18;1
IPCA Livres;2024-10-11;09/2026;0,227;0,22;0,0778;0,0414;0,4;55;0
IPCA Serviços;2024-10-11;09/2026;0,3141;0,3;0,1195;0,13;0,68;17;1
IPCA Serviços;2024-10-11;09/2026;0,3303;0,32;0,1132;0,1;0,68;52;0
IPCA Bens industrializados;2024-10-11;09/2026;0,2229;0,2338;0,0897;-0,01;0,38;15;1
IPCA Bens industrializados;2024-10-11;09/2026;0,1877;0,2;0,089;-0,01;0,38;49;0
IPCA Alimentação no domicílio;2024-10-11;09/2026;0,1163;0,19;0,1875;-0,37;0,32;14;1
IPCA Alimentação no domicílio;2024-10-11;09/2026;0,0764;0,075;0,2367;-0,5421;0,75;50;0
