Indicador;Data;DataReferencia;Media;Mediana;DesvioPadrao;Minimo;Maximo;numeroRespondentes;baseCalculo
IPCA;2021-09-14;3/2021;2,6803;2,7549;0,2296;2,1201;2,9891;117;1
IPCA;2021-09-14;4/2021;1,4356;1,4418;0,207;0,812;2,0133;116;1
IPCA;2021-09-14;1/2022;1,2195;1,1645;0,235;0,621;1,8511;107;1
IPCA;2021-09-14;2/2022;0,7806;0,8021;0,2521;0,1753;1,3558;105;1
IPCA;2021-09-14;3/2022;0,8264;0,8122;0,2072;0,1488;1,4775;104;1
IPCA;2021-09-14;4/2022;1,1484;1,1684;0,2395;0,3403;1,8509;104;1
IPCA;2021-09-14;1/2023;1,0648;1,0583;0,181;0,6012;1,6591;74;1
IPCA;2021-09-14;2/2023;0,7564;0,7459;0,1822;0,2602;1,2552;72;1
IPCA;2021-09-14;3/2021;2,6803;2,7549;0,2296;2,1201;2,9891;117;0
IPCA;2021-09-14;4/2021;1,4356;1,4418;0,207;0,812;2,0133;116;0
IPCA;2021-09-14;1/2022;1,2195;1,1645;0,235;0,621;1,8511;107;0
IPCA;2021-09-14;2/2022;0,7806;0,8021;0,2521;0,1753;1,3558;105;0
IPCA;2021-09-14;3/2022;0,8264;0,8122;0,2072;0,1488;1,4775;104;0
IPCA;2021-09-14;4/2022;1,1484;1,1684;0,2395;0,3403;1,8509;104;0
IPCA;2021-09-14;1/2023;1,0648;1,0583;0,181;0,6012;1,6591;74;0
IPCA;2021-09-14;2/2023;0,7564;0,7459;0,1822;0,2602;1,2552;72;0
IPCA;2021-09-15;3/2021;2,7079;2,7701;0,2212;2,1201;3,0604;120;1
IPCA;2021-09-15;4/2021;1,4414;1,4568;0,2084;0,812;2,0133;119;1
IPCA;2021-09-15;1/2022;1,2261;1,1846;0,2308;0,621;1,8511;109;1
IPCA;2021-09-15;2/2022;0,7792;0,8021;0,2572;0,1753;1,5035;107;1
IPCA;2021-09-15;3/2022;0,8343;0,8222;0,2099;0,1488;1,4775;106;1
IPCA;2021-09-15;4/2022;1,15;1,1684;0,2435;0,3403;1,8509;106;1
IPCA;2021-09-15;1/2023;1,0648;1,0583;0,181;0,6012;1,6591;74;1
IPCA;2021-09-15;2/2023;0,7564;0,7459;0,1822;0,2602;1,2552;72;1
IPCA;2021-09-15;3/2021;2,7079;2,7701;0,2212;2,1201;3,0604;120;0
IPCA;2021-09-15;4/2021;1,4414;1,4568;0,2084;0,812;2,0133;119;0
IPCA;2021-09-15;1/2022;1,2261;1,1846;0,2308;0,621;1,8511;109;0
