Data;Valor
201101;...
201102;-0.2
201103;-0.2
201104;0.7
201105;1.7
201106;-0.4
201107;0.1
201108;-2.2
201109;-0.1
201110;-0.2
201111;2.6
201112;2.4
201201;-1.4
201202;0.6
201203;1.0
201204;1.4
201205;0.7
201206;0.9
201207;-2.7
201208;7.1
201209;0.2
201210;1.8
201211;-0.3
201212;-3.0
201301;5.9
201302;0.2
201303;-0.6
201304;2.1
201305;-1.5
201306;1.5
201307;0.1
201308;2.2
201309;-0.4
201310;1.0
201311;-1.8
201312;-4.9
201401;2.1
201402;4.2
201403;1.6
201404;-2.1
201405;1.5
201406;-3.9
201407;2.5
201408;-1.6
201409;0.8
201410;0.8
201411;2.4
201412;-4.4
201501;-2.8
201502;-2.5
201503;1.2
201504;-2.5
201505;-1.7
201506;-1.0
201507;-0.3
201508;0.4
201509;0.6
201510;-0.6
201511;-1.5
201512;-0.5
201601;-1.0
201602;-3.1
201603;0.2
201604;-2.8
201605;-0.5
201606;-1.4
201607;-0.1
201608;-2.8
201609;-0.5
201610;-3.9
201611;0.6
201612;4.6
201701;7.8
201702;2.5
201703;-4.9
201704;7.2
201705;-1.6
201706;2.1
201707;-2.3
201708;0.3
201709;1.6
201710;0.2
201711;0.8
201712;-0.3
201801;-1.2
201802;1.1
201803;-0.3
201804;1.1
201805;-15.4
201806;28.6
201807;-5.2
201808;1.5
201809;-2.9
201810;-1.2
201811;1.1
201812;1.0
201901;-1.9
201902;-1.9
201903;-1.3
201904;0.1
201905;-1.5
201906;0.8
201907;0.8
201908;0.3
201909;0.8
201910;2.7
201911;-0.5
201912;-6.0
202001;4.6
202002;2.5
202003;-5.5
202004;-7.6
202005;3.8
202006;0.2
202007;3.1
202008;3.6
202009;3.9
202010;1.4
202011;0.2
202012;-0.8
202101;3.1
202102;4.4
202103;0.4
202104;1.6
202105;0.3
202106;-0.9
202107;0.2
202108;-2.3
202109;-0.3
202110;2.6
202111;1.4
202112;3.8
202201;1.4
202202;2.9
202203;0.7
202204;0.8
202205;1.4
202206;1.8
202207;1.6
202208;2.2
202209;-1.6
202210;-0.5
202211;0.7
202212;1.7
202301;-3.5
202302;3.8
202303;5.2
202304;-4.4
202305;4.5
202306;0.0
202307;2.4
202308;-2.7
202309;-0.2
202310;-2.7
202311;0.6
202312;-1.1
202401;0.7
202402;-1.6
202403;-0.1
202404;-0.1
202405;-0.5
202406;0.4
202407;-0.7
