Data;Valor
201102;-5.4
201103;2.0
201104;-1.4
201105;0.5
201106;-0.5
201107;2.1
201108;0.3
201109;0.3
201110;-0.3
201111;2.4
201112;0.8
201201;1.4
201202;-0.8
201203;5.8
201204;-5.8
201205;0.2
201206;2.3
201207;1.5
201208;1.0
201209;0.9
201210;0.3
201211;-2.1
201212;6.2
201301;-5.1
201302;4.9
201303;-2.1
201304;4.7
201305;-1.3
201306;1.1
201307;3.9
201308;-5.2
201309;-1.3
201310;1.7
201311;-0.8
201312;0.5
201401;-1.8
201402;6.6
201403;-2.3
201404;-0.9
201405;1.9
201406;-1.4
201407;-1.1
201408;0.9
201409;1.5
201410;4.4
201411;-2.6
201412;2.2
201501;-8.6
201502;3.1
201503;-2.2
201504;1.1
201505;-0.9
201506;0.1
201507;-1.3
201508;1.5
201509;-0.4
201510;-0.7
201511;1.9
201512;0.4
201601;-3.1
201602;0.8
201603;1.3
201604;-0.2
201605;-0.1
201606;-1.3
201607;-2.1
201608;0.2
201609;-0.5
201610;-1.4
201611;-2.5
201612;11.5
201701;-2.1
201702;-2.6
201703;-3.2
201704;-2.5
201705;-0.1
201706;-2.0
201707;0.5
201708;-2.3
201709;0.4
201710;-6.8
201711;0.7
201712;2.3
201801;7.2
201802;-5.8
201803;1.1
201804;-0.8
201805;-5.9
201806;2.7
201807;0.3
201808;0.3
201809;-2.8
201810;-0.8
201811;0.1
201812;-0.7
201901;4.3
201902;-2.4
201903;2.7
201904;0.2
201905;1.3
201906;0.3
201907;0.4
201908;-2.9
201909;0.0
201910;1.1
201911;0.2
201912;-2.6
202001;2.5
202002;-0.9
202003;-5.5
202004;-20.2
202005;0.3
202006;4.7
202007;-4.1
202008;8.9
202009;4.3
202010;2.8
202011;1.3
202012;0.9
202101;0.7
202102;2.2
202103;-2.1
202104;-0.2
202105;2.8
202106;2.0
202107;3.3
202108;3.1
202109;-1.0
202110;7.8
202111;-1.0
202112;-3.3
202201;0.7
202202;-0.9
202203;3.9
202204;1.1
202205;5.4
202206;-5.9
202207;-2.4
202208;1.9
202209;0.2
202210;-0.4
202211;1.2
202212;3.9
202301;-4.2
202302;2.7
202303;3.4
202304;-0.2
202305;0.0
202306;-5.0
202307;6.0
202308;-3.3
202309;2.0
202310;-2.1
202311;-1.4
202312;1.0
202401;2.4
202402;-1.6
202403;-1.9
202404;2.3
202405;0.2
202406;1.6
202407;-0.2
