;Unnamed: 0;trimestre;nomeBandeira;nomeFuncao;produto;qtdCartoesEmitidos;qtdCartoesAtivos;qtdTransacoesNacionais;valorTransacoesNacionais;qtdTransacoesInternacionais;valorTransacoesInternacionais
0;0;2011-04-01;Diners Club;Crédito;Intermediário;434351;309953;4218564;671770266,1;156925;41586955,37
1;1;2017-04-01;MasterCard;Débito;Premium;196991;116111;1869601;181622759,48;3204;1593307,54
2;2;2012-04-01;MasterCard;Débito;Premium;146656;74267;658477;57929494,87;7305;2316676,64
3;3;2021-01-01;MasterCard;Débito;Básico Internacional;83088117;21554284;567370086;39064611985,99;27511;9502222,14
4;4;2021-01-01;MasterCard;Crédito;Premium;2197074;1785104;107175156;21107092218,04;1234605;631224037,1
5;5;2015-10-01;Elo;Crédito;Empresarial;306071;98958;991979;476517461,49;0;0,0
6;6;2014-01-01;Elo;Crédito;Empresarial;10564;4076;16922;19078899,3;0;0,0
7;7;2021-07-01;MasterCard;Débito;Platinum;864416;385714;9028660;816062254,61;1730;761974,94
8;8;2016-01-01;Elo;Débito;Outros;39676261;13569281;133566608;7527158555,6;0;0,0
9;9;2023-07-01;Elo;Débito;Empresarial;989166;394867;9191895;1227528692,45;0;0,0
10;10;2019-01-01;MasterCard;Débito;Premium;211226;115589;1931664;186615895,98;5099;2129487,09
11;11;2018-04-01;MasterCard;Débito;Premium;204756;116143;1947513;188355502,86;4302;1817118,7
12;12;2020-04-01;MasterCard;Crédito;Empresarial;2012146;1461916;15100296;3788427501,75;264777;172009818,53
13;13;2024-01-01;Elo;Pré-Pago;Premium;6726;0;978;81617,26;0;0,0
14;14;2021-10-01;Bandeira própria;Pré-Pago;Outros;591217;246442;502900338;895538643,09;0;0,0
15;15;2021-04-01;MasterCard;Crédito;Outros;17649299;5982166;72472050;7428326531,97;103424;14094559,49
16;16;2015-10-01;VISA;Crédito;Premium;660876;492751;33837057;5769788455,58;1138548;451666380,99
17;17;2019-01-01;VISA;Crédito;Platinum;5152635;3788951;179935751;22879997226,87;3331944;1024731079,43
18;18;2014-10-01;Outras;Crédito;Básico Nacional;1305116;304883;118144;82424785,57;0;0,0
19;19;2014-07-01;MasterCard;Débito;Básico Internacional;121501342;38426735;568540737;33444199947,53;175796;40356844,38
20;20;2013-10-01;Elo;Crédito;Básico Nacional;3698272;1150141;9230085;499945030,55;50;1509,13
21;21;2012-07-01;Outras;Crédito;Outros;2159468;164928;489033;70278893,95;5;372,41
22;22;2011-04-01;Outras;Crédito;Outros;2779349;534015;1840032;177824734,4;1420;87745,16
23;23;2022-07-01;MasterCard;Crédito;Corporativo;166240;103685;4327659;2231853629,57;242147;253636834,65
24;24;2015-07-01;American Express;Crédito;Empresarial;97065;29729;924110;219464164,78;34038;24572981,4
25;25;2020-01-01;VISA;Pré-Pago;Empresarial;1418;1082;18586;1585466,24;0;0,0
26;26;2011-10-01;VISA;Crédito;Corporativo;491084;238525;3254579;1431979785,64;171919;85837615,1
27;27;2023-10-01;MasterCard;Débito;Empresarial;1840152;431006;15493534;1033834993,12;26;22958,43
28;28;2024-01-01;Outras;Crédito;Básico Internacional;85387;72412;29448;14139619,5;0;0,0
29;29;2023-01-01;American Express;Crédito;Corporativo;68432;49995;1165487;1023587778,22;83905;134122134,34
30;30;2020-04-01;Elo;Débito;Empresarial;711850;301075;4930991;643004234,76;0;0,0
31;31;2023-04-01;VISA;Crédito;Intermediário;30269172;18566843;417828581;48914061616,01;1274354;285108014,16
32;32;2021-01-01;MasterCard;Crédito;Platinum;10973927;9053834;289236263;35818913397,89;1736575;417692086,75
