;localidade_nome;serie
0;Ceará;2011.02
1;Ceará;2011.03
2;Ceará;2011.04
3;Ceará;2011.05
4;Ceará;2011.06
5;Ceará;2011.07
6;Ceará;2011.08
7;Ceará;2011.09
8;Ceará;2011.10
9;Ceará;2011.11
10;Ceará;2011.12
11;Ceará;2012.01
12;Ceará;2012.02
13;Ceará;2012.03
14;Ceará;2012.04
15;Ceará;2012.05
16;Ceará;2012.06
17;Ceará;2012.07
18;Ceará;2012.08
19;Ceará;2012.09
20;Ceará;2012.10
21;Ceará;2012.11
22;Ceará;2012.12
23;Ceará;2013.01
24;Ceará;2013.02
25;Ceará;2013.03
26;Ceará;2013.04
27;Ceará;2013.05
28;Ceará;2013.06
29;Ceará;2013.07
30;Ceará;2013.08
31;Ceará;2013.09
32;Ceará;2013.10
33;Ceará;2013.11
34;Ceará;2013.12
35;Ceará;2014.01
36;Ceará;2014.02
37;Ceará;2014.03
38;Ceará;2014.04
39;Ceará;2014.05
40;Ceará;2014.06
41;Ceará;2014.07
42;Ceará;2014.08
43;Ceará;2014.09
44;Ceará;2014.10
45;Ceará;2014.11
46;Ceará;2014.12
47;Ceará;2015.01
48;Ceará;2015.02
49;Ceará;2015.03
50;Ceará;2015.04
51;Ceará;2015.05
52;Ceará;2015.06
53;Ceará;2015.07
54;Ceará;2015.08
55;Ceará;2015.09
56;Ceará;2015.10
57;Ceará;2015.11
58;Ceará;2015.12
59;Ceará;2016.01
60;Ceará;2016.02
61;Ceará;2016.03
62;Ceará;2016.04
63;Ceará;2016.05
64;Ceará;2016.06
65;Ceará;2016.07
66;Ceará;2016.08
67;Ceará;2016.09
68;Ceará;2016.10
69;Ceará;2016.11
70;Ceará;2016.12
71;Ceará;2017.01
72;Ceará;2017.02
73;Ceará;2017.03
74;Ceará;2017.04
75;Ceará;2017.05
76;Ceará;2017.06
77;Ceará;2017.07
78;Ceará;2017.08
79;Ceará;2017.09
80;Ceará;2017.10
81;Ceará;2017.11
82;Ceará;2017.12
83;Ceará;2018.01
84;Ceará;2018.02
85;Ceará;2018.03
86;Ceará;2018.04
87;Ceará;2018.05
88;Ceará;2018.06
89;Ceará;2018.07
90;Ceará;2018.08
91;Ceará;2018.09
92;Ceará;2018.10
93;Ceará;2018.11
94;Ceará;2018.12
95;Ceará;2019.01
96;Ceará;2019.02
97;Ceará;2019.03
98;Ceará;2019.04
99;Ceará;2019.05
100;Ceará;2019.06
101;Ceará;2019.07
102;Ceará;2019.08
103;Ceará;2019.09
104;Ceará;2019.10
105;Ceará;2019.11
106;Ceará;2019.12
107;Ceará;2020.01
108;Ceará;2020.02
109;Ceará;2020.03
110;Ceará;2020.04
111;Ceará;2020.05
112;Ceará;2020.06
113;Ceará;2020.07
114;Ceará;2020.08
115;Ceará;2020.09
116;Ceará;2020.10
117;Ceará;2020.11
118;Ceará;2020.12
119;Ceará;2021.01
120;Ceará;2021.02
121;Ceará;2021.03
122;Ceará;2021.04
123;Ceará;2021.05
124;Ceará;2021.06
125;Ceará;2021.07
126;Ceará;2021.08
127;Ceará;2021.09
128;Ceará;2021.10
129;Ceará;2021.11
130;Ceará;2021.12
131;Ceará;2022.01
132;Ceará;2022.02
133;Ceará;2022.03
134;Ceará;2022.04
135;Ceará;2022.05
136;Ceará;2022.06
137;Ceará;2022.07
138;Ceará;2022.08
139;Ceará;2022.09
140;Ceará;2022.10
141;Ceará;2022.11
142;Ceará;2022.12
143;Ceará;2023.01
144;Ceará;2023.02
145;Ceará;2023.03
146;Ceará;2023.04
147;Ceará;2023.05
148;Ceará;2023.06
149;Ceará;2023.07
150;Ceará;2023.08
151;Ceará;2023.09
152;Ceará;2023.10
153;Ceará;2023.11
154;Ceará;2023.12
155;Ceará;2024.01
156;Ceará;2024.02
157;Ceará;2024.03
158;Ceará;2024.04
159;Ceará;2024.05
160;Ceará;2024.06
161;Ceará;2024.07
162;Pernambuco;2011.02
163;Pernambuco;2011.03
164;Pernambuco;2011.04
165;Pernambuco;2011.05
166;Pernambuco;2011.06
167;Pernambuco;2011.07
168;Pernambuco;2011.08
169;Pernambuco;2011.09
170;Pernambuco;2011.10
171;Pernambuco;2011.11
172;Pernambuco;2011.12
173;Pernambuco;2012.01
174;Pernambuco;2012.02
175;Pernambuco;2012.03
176;Pernambuco;2012.04
177;Pernambuco;2012.05
178;Pernambuco;2012.06
179;Pernambuco;2012.07
180;Pernambuco;2012.08
181;Pernambuco;2012.09
182;Pernambuco;2012.10
183;Pernambuco;2012.11
184;Pernambuco;2012.12
185;Pernambuco;2013.01
186;Pernambuco;2013.02
187;Pernambuco;2013.03
188;Pernambuco;2013.04
189;Pernambuco;2013.05
190;Pernambuco;2013.06
191;Pernambuco;2013.07
192;Pernambuco;2013.08
193;Pernambuco;2013.09
194;Pernambuco;2013.10
195;Pernambuco;2013.11
196;Pernambuco;2013.12
197;Pernambuco;2014.01
198;Pernambuco;2014.02
199;Pernambuco;2014.03
200;Pernambuco;2014.04
201;Pernambuco;2014.05
