;localidade_nome;serie
0;Ceará;201102
1;Ceará;201103
2;Ceará;201104
3;Ceará;201105
4;Ceará;201106
5;Ceará;201107
6;Ceará;201108
7;Ceará;201109
8;Ceará;201110
9;Ceará;201111
10;Ceará;201112
11;Ceará;201201
12;Ceará;201202
13;Ceará;201203
14;Ceará;201204
15;Ceará;201205
16;Ceará;201206
17;Ceará;201207
18;Ceará;201208
19;Ceará;201209
20;Ceará;201210
21;Ceará;201211
22;Ceará;201212
23;Ceará;201301
24;Ceará;201302
25;Ceará;201303
26;Ceará;201304
27;Ceará;201305
28;Ceará;201306
29;Ceará;201307
30;Ceará;201308
31;Ceará;201309
32;Ceará;201310
33;Ceará;201311
34;Ceará;201312
35;Ceará;201401
36;Ceará;201402
37;Ceará;201403
38;Ceará;201404
39;Ceará;201405
40;Ceará;201406
41;Ceará;201407
42;Ceará;201408
43;Ceará;201409
44;Ceará;201410
45;Ceará;201411
46;Ceará;201412
47;Ceará;201501
48;Ceará;201502
49;Ceará;201503
50;Ceará;201504
51;Ceará;201505
52;Ceará;201506
53;Ceará;201507
54;Ceará;201508
55;Ceará;201509
56;Ceará;201510
57;Ceará;201511
58;Ceará;201512
59;Ceará;201601
60;Ceará;201602
61;Ceará;201603
62;Ceará;201604
63;Ceará;201605
64;Ceará;201606
65;Ceará;201607
66;Ceará;201608
67;Ceará;201609
68;Ceará;201610
69;Ceará;201611
70;Ceará;201612
71;Ceará;201701
72;Ceará;201702
73;Ceará;201703
74;Ceará;201704
75;Ceará;201705
76;Ceará;201706
77;Ceará;201707
78;Ceará;201708
79;Ceará;201709
80;Ceará;201710
81;Ceará;201711
82;Ceará;201712
83;Ceará;201801
84;Ceará;201802
85;Ceará;201803
86;Ceará;201804
87;Ceará;201805
88;Ceará;201806
89;Ceará;201807
90;Ceará;201808
91;Ceará;201809
92;Ceará;201810
93;Ceará;201811
94;Ceará;201812
95;Ceará;201901
96;Ceará;201902
97;Ceará;201903
98;Ceará;201904
99;Ceará;201905
100;Ceará;201906
101;Ceará;201907
102;Ceará;201908
103;Ceará;201909
104;Ceará;201910
105;Ceará;201911
106;Ceará;201912
107;Ceará;202001
108;Ceará;202002
109;Ceará;202003
110;Ceará;202004
111;Ceará;202005
112;Ceará;202006
113;Ceará;202007
114;Ceará;202008
115;Ceará;202009
116;Ceará;202010
117;Ceará;202011
118;Ceará;202012
119;Ceará;202101
120;Ceará;202102
121;Ceará;202103
122;Ceará;202104
123;Ceará;202105
124;Ceará;202106
125;Ceará;202107
126;Ceará;202108
127;Ceará;202109
128;Ceará;202110
129;Ceará;202111
130;Ceará;202112
131;Ceará;202201
132;Ceará;202202
133;Ceará;202203
134;Ceará;202204
135;Ceará;202205
136;Ceará;202206
137;Ceará;202207
138;Ceará;202208
139;Ceará;202209
140;Ceará;202210
141;Ceará;202211
142;Ceará;202212
143;Ceará;202301
144;Ceará;202302
145;Ceará;202303
146;Ceará;202304
147;Ceará;202305
148;Ceará;202306
149;Ceará;202307
150;Ceará;202308
151;Ceará;202309
152;Ceará;202310
153;Ceará;202311
154;Ceará;202312
155;Ceará;202401
156;Ceará;202402
157;Ceará;202403
158;Ceará;202404
159;Ceará;202405
160;Ceará;202406
161;Ceará;202407
162;Pernambuco;201102
163;Pernambuco;201103
164;Pernambuco;201104
165;Pernambuco;201105
166;Pernambuco;201106
167;Pernambuco;201107
168;Pernambuco;201108
169;Pernambuco;201109
170;Pernambuco;201110
171;Pernambuco;201111
172;Pernambuco;201112
173;Pernambuco;201201
174;Pernambuco;201202
175;Pernambuco;201203
176;Pernambuco;201204
177;Pernambuco;201205
178;Pernambuco;201206
179;Pernambuco;201207
180;Pernambuco;201208
181;Pernambuco;201209
182;Pernambuco;201210
183;Pernambuco;201211
184;Pernambuco;201212
185;Pernambuco;201301
186;Pernambuco;201302
187;Pernambuco;201303
188;Pernambuco;201304
189;Pernambuco;201305
190;Pernambuco;201306
191;Pernambuco;201307
192;Pernambuco;201308
193;Pernambuco;201309
194;Pernambuco;201310
195;Pernambuco;201311
196;Pernambuco;201312
197;Pernambuco;201401
198;Pernambuco;201402
199;Pernambuco;201403
200;Pernambuco;201404
201;Pernambuco;201405
202;Pernambuco;201406
203;Pernambuco;201407
204;Pernambuco;201408
205;Pernambuco;201409
206;Pernambuco;201410
207;Pernambuco;201411
208;Pernambuco;201412
209;Pernambuco;201501
210;Pernambuco;201502
211;Pernambuco;201503
212;Pernambuco;201504
213;Pernambuco;201505
214;Pernambuco;201506
215;Pernambuco;201507
216;Pernambuco;201508
217;Pernambuco;201509
218;Pernambuco;201510
219;Pernambuco;201511
220;Pernambuco;201512
221;Pernambuco;201601
222;Pernambuco;201602
223;Pernambuco;201603
224;Pernambuco;201604
225;Pernambuco;201605
226;Pernambuco;201606
227;Pernambuco;201607
228;Pernambuco;201608
229;Pernambuco;201609
230;Pernambuco;201610
231;Pernambuco;201611
232;Pernambuco;201612
233;Pernambuco;201701
234;Pernambuco;201702
235;Pernambuco;201703
